fid,ID,FEATCODE,layer,area,BUA22NM
169,28089E34-96A9-49A3-95F5-7C0E4F1374FD,25612,SX_Foreshore,5099,Newton Abbot
170,13F03325-D0D1-489D-9333-21D99C05985D,25612,SP_Foreshore,10,Daventry
171,4213D28B-4001-4C4B-B921-ED7D56ADF1FB,25612,SJ_Foreshore,8222,Bebington
172,3893D5D1-596B-487C-A9CC-C082DC467586,25612,SU_Foreshore,164226,Portsmouth
173,B3FCCF34-64F4-43A7-B989-B3772E44D4C4,25612,TQ_Foreshore,217698,Southwark
174,B3FCCF34-64F4-43A7-B989-B3772E44D4C4,25612,TQ_Foreshore,91068,Lambeth
175,6F095EDA-FFC3-47E8-934A-5D995C4D551C,25612,NS_Foreshore,138943,Greenock
176,A9652871-6602-43E5-883E-7C2F103DB106,25612,NZ_Foreshore,16126,Redcar
177,364CD7F1-D910-4FE8-BF61-CB6393BE7BD5,25612,TM_Foreshore,27703,Colchester
178,4213D28B-4001-4C4B-B921-ED7D56ADF1FB,25612,SJ_Foreshore,13025,Ellesmere Port
179,6E4E3FF3-5F5B-40D4-B98E-338638CD5CBA,25612,NX_Foreshore,1428,Dumfries
180,DB8ACB9E-62DB-4BD6-BFF9-F63A448B6726,25612,TQ_Foreshore,660590,Canvey Island
181,C2277E75-3E83-442D-9F55-0EE91F9DC9D3,25612,TM_Foreshore,30416,Felixstowe
182,2553F61A-7FDA-4C70-9DF4-73EA241F3234,25612,NS_Foreshore,15713,Grangemouth
183,E277D020-96EB-44F3-9691-1A00ABB3040B,25612,SM_Foreshore,69124,Milford Haven
184,DB8ACB9E-62DB-4BD6-BFF9-F63A448B6726,25612,TQ_Foreshore,4775,Stanford-le-Hope
185,29542E26-4C07-4682-8DFD-FA1D4BE85D23,25612,NZ_Foreshore,6897,Wallsend
